common_name,sci_name
Atlantic herring,Clupea harengus
Pacific herring,Clupea pallasii
Dogtooth herring,Chirocentrodon bleekerianus
Bleeker smoothbelly sardinella,Amblygaster clupeoides
Smoothbelly sardinella,Amblygaster leiogaster
Spotted sardinella,Amblygaster sirm
Deepbody sardinella,Sardinella brachysoma
Yellowtail sardinella,Sardinella rouxi
Goldstripe sardinella,Sardinella gibbosa
Indian oil sardine,Sardinella longiceps
Blacktip sardinella,Sardinella melanura
Fringescale sardinella,Sardinella fimbriata
Sind sardinella,Sardinella sindensis
Round sardinella,Sardinella aurita
East African sardinella,Sardinella neglecta
Mauritian sardinella,Sardinella jussieui
Madeiran sardinella,Sardinella maderensis
White sardinella,Sardinella albella
Japanese sardinella,Sardinella zunasi
Bali sardinella,Sardinella lemuru
Brazilian sardinella,Sardinella brasiliensis
Fiji sardinella,Sardinella fijiense
Sardinellas nei,Sardinella spp
Japanese pilchard,Sardinops melanostictus
California pilchard,Sardinops caeruleus
South American pilchard,Sardinops sagax
Southern African pilchard,Sardinops ocellatus
Australian pilchard,Sardinops neopilchardus
Pilchards nei,Sardinops spp
Brazilian menhaden,Brevoortia aurea
Argentine menhaden,Brevoortia pectinata
Atlantic menhaden,Brevoortia tyrannus
Gulf menhaden,Brevoortia patronus
Yellowfin menhaden,Brevoortia smithi
Menhadens nei,Brevoortia spp
Rainbow sardine,Dussumieria acuta
Slender rainbow sardine,Dussumieria elopsoides
Rainbow sardines nei,Dussumieria spp
Bonga shad,Ethmalosa fimbriata
Red-eye round herring,Etrumeus teres
Whitehead's round herring,Etrumeus whiteheadi
False herring,Harengula clupeola
Redear herring,Harengula humeralis
Pacific flatiron herring,Harengula thrissina
Scaled herring,Harengula jaguana
Scaled sardines,Harengula spp
Dwarf round herring,Jenkinsia lamprotaenia
Florida round herring,Jenkinsia stolifera
Pacific thread herring,Opisthonema libertate
Atlantic thread herring,Opisthonema oglinum
Slender thread herring,Opisthonema bulleri
Middling thread herring,Opisthonema medirastre
Thread herrings nei,Opisthonema spp
Silver-stripe round herring,Spratelloides gracilis
Delicate round herring,Spratelloides delicatulus
Atlantic piquitinga,Lile piquitinga
Pacific piquitinga,Lile stolifera
European pilchard(=Sardine),Sardina pilchardus
European sprat,Sprattus sprattus
Falkland sprat,Sprattus fuegensis
Pacific menhaden,Ethmidium maculatum
Bluestripe herring,Herklotsichthys quadrimaculat.
Blacksaddle herring,Herklotsichthys dispilonotus
Goto's herring,Herklotsichthys gotoi
Gulf herring,Herklotsichthys lossei
Spotback herring,Herklotsichthys punctatus
Reunion herring,Herklotsichthys spilurus
White sardine,Escualosa thoracata
Araucanian herring,Strangomera bentincki
Jenyns's sprat,Ramnogaster arcuata
Two-finned round herring,Spratellomorpha bianalis
Day's round herring,Dayella malabarica
Malabar sprat,Ehirava fluviatilis
Sandy sprat,Hyperlophus vittatus
"Herrings, sardines nei",Clupeidae
European anchovy,Engraulis encrasicolus
Japanese anchovy,Engraulis japonicus
Argentine anchovy,Engraulis anchoita
Californian anchovy,Engraulis mordax
Anchoveta(=Peruvian anchovy),Engraulis ringens
Southern African anchovy,Engraulis capensis
Anchovies nei,Engraulis spp
Devis' anchovy,Encrasicholina devisi
Shorthead anchovy,Encrasicholina heteroloba
Buccaneer anchovy,Encrasicholina punctifer
Atlantic anchoveta,Cetengraulis edentulus
Pacific anchoveta,Cetengraulis mysticetus
Regan's anchovy,Anchoa argentivittata
Short anchovy,Anchoa curta
Marini's anchovy,Anchoa marinii
Bermuda anchovy,Anchoa choerostoma
Longnose anchovy,Anchoa nasus
Eigenmann's anchovy,Anchoa eigenmannia
Slender anchovy,Anchoa ischana
Rio anchovy,Anchoa januaria
Panama anchovy,Anchoa panamensis
Broad-striped anchovy,Anchoa hepsetus
Longfinger anchovy,Anchoa filifera
Deep body anchovy,Anchoa compressa
Bigfin anchovy,Anchoa pectoralis
